sentence_text,aspects,polarity,top_aspect_score,aspect_scores,overridden
Dead quiet at night with nothing to do in the area.,nightlife,-0.8352,0.9898,cleanliness:0.01;service:0.00;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.44;safety:0.01;quietness:0.99;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.02;food_dining:0.00;accessibility:0.01,True
"Decent for one night, not for longer.",general,0.0607,0.9625,cleanliness:0.96;service:0.01;luxury:0.00;value:0.63;location_central:0.01;local_culture:0.03;safety:0.04;quietness:0.94;nightlife:0.12;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.01;beach_access:0.13;food_dining:0.02;accessibility:0.01,True
Didn't live up to its luxury billing at all.,luxury,-0.8799,0.8833,cleanliness:0.02;service:0.00;luxury:0.88;value:0.07;location_central:0.01;local_culture:0.04;safety:0.00;quietness:0.01;nightlife:0.03;family_friendly:0.00;business_facilities:0.01;wellness_spa:0.13;beach_access:0.03;food_dining:0.02;accessibility:0.03,False
Direct beach access made the whole stay feel like a proper getaway.,beach_access,0.9314,0.9942,cleanliness:0.00;service:0.00;luxury:0.09;value:0.01;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.02;business_facilities:0.00;wellness_spa:0.00;beach_access:0.99;food_dining:0.00;accessibility:0.02,False
Don't come here for nightlife — everything shuts early and it's sleepy.,nightlife,-0.7637,0.8649,cleanliness:0.01;service:0.00;luxury:0.01;value:0.01;location_central:0.00;local_culture:0.10;safety:0.06;quietness:0.86;nightlife:0.38;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.00;beach_access:0.03;food_dining:0.00;accessibility:0.01,True
"Everything was sparkling clean, clearly very well maintained.",cleanliness,0.9514,0.997,cleanliness:1.00;service:0.00;luxury:0.12;value:0.00;location_central:0.01;local_culture:0.02;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.01;business_facilities:0.02;wellness_spa:0.04;beach_access:0.03;food_dining:0.00;accessibility:0.01,False
"Excellent accessibility — wide doorways, roll-in shower, and helpful staff.",accessibility,0.9666,0.9946,cleanliness:0.25;service:0.04;luxury:0.00;value:0.00;location_central:0.05;local_culture:0.00;safety:0.01;quietness:0.00;nightlife:0.00;family_friendly:0.02;business_facilities:0.00;wellness_spa:0.01;beach_access:0.02;food_dining:0.00;accessibility:0.99,False
Excellent value for the price — far better than I expected for the rate.,value,0.9671,0.9986,cleanliness:0.01;service:0.00;luxury:0.00;value:1.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.02;nightlife:0.01;family_friendly:0.00;business_facilities:0.01;wellness_spa:0.08;beach_access:0.02;food_dining:0.02;accessibility:0.01,False
"Fantastic for families — connecting rooms, a kids' club, and high chairs at breakfast.",service|family_friendly|food_dining,0.982,0.9991,cleanliness:0.02;service:0.75;luxury:0.01;value:0.10;location_central:0.03;local_culture:0.04;safety:0.00;quietness:0.01;nightlife:0.00;family_friendly:1.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.96;accessibility:0.03,False
"Far too expensive for such an average, no-frills experience.",value,-0.8724,0.9636,cleanliness:0.01;service:0.00;luxury:0.03;value:0.96;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.01;nightlife:0.01;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.05;beach_access:0.01;food_dining:0.03;accessibility:0.00,False
Felt completely safe walking back alone at night; the area is well-lit and security was attentive.,location_central|safety,0.8583,0.9997,cleanliness:0.00;service:0.00;luxury:0.03;value:0.00;location_central:0.64;local_culture:0.01;safety:1.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.00,False
Felt like a generic tourist zone with no local character at all.,local_culture,-0.7801,0.9887,cleanliness:0.02;service:0.00;luxury:0.00;value:0.00;location_central:0.01;local_culture:0.99;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.07;food_dining:0.00;accessibility:0.01,False
Felt quite isolated — nothing within walking distance.,location_central,-0.5994,0.0503,cleanliness:0.00;service:0.00;luxury:0.03;value:0.00;location_central:0.00;local_culture:0.05;safety:0.00;quietness:0.02;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.02;food_dining:0.00;accessibility:0.00,True
Front desk was friendly and incredibly helpful with every request.,service,0.9664,0.9999,cleanliness:0.02;service:1.00;luxury:0.05;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.01;business_facilities:0.06;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.02,False
Front desk was rude and unhelpful whenever we asked for anything.,service,-0.8891,0.9957,cleanliness:0.00;service:1.00;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.02;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
"Fully step-free with a spacious, well-designed accessible room.",accessibility,0.9132,0.992,cleanliness:0.13;service:0.00;luxury:0.08;value:0.03;location_central:0.01;local_culture:0.01;safety:0.01;quietness:0.02;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.01;beach_access:0.02;food_dining:0.00;accessibility:0.99,False
Getting around was easy with my wheelchair; ramps and lifts everywhere.,accessibility,0.8176,0.9995,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.01;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:1.00,False
Great bang for your buck; you really get a lot for what you pay.,value,0.9622,0.9961,cleanliness:0.02;service:0.00;luxury:0.01;value:1.00;location_central:0.01;local_culture:0.02;safety:0.00;quietness:0.05;nightlife:0.02;family_friendly:0.01;business_facilities:0.02;wellness_spa:0.17;beach_access:0.05;food_dining:0.02;accessibility:0.02,False
"Great bars and clubs right around the corner, perfect for a night out.",nightlife|location_central,0.979,0.9984,cleanliness:0.00;service:0.00;luxury:0.00;value:0.06;location_central:0.68;local_culture:0.74;safety:0.01;quietness:0.00;nightlife:1.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.01,True
Great base for experiencing the real culture — artisans and street food all around.,location_central|local_culture,0.9315,0.9951,cleanliness:0.00;service:0.00;luxury:0.00;value:0.02;location_central:0.90;local_culture:1.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.00;beach_access:0.03;food_dining:0.33;accessibility:0.01,False
Great setup for business travel: fast reliable internet and a proper desk.,business_facilities,0.9623,0.994,cleanliness:0.00;service:0.00;luxury:0.00;value:0.06;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.99;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.00,False
Housekeeping was impeccable; the room was fresh every single day.,cleanliness,0.9664,0.9997,cleanliness:1.00;service:0.54;luxury:0.51;value:0.00;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.03;nightlife:0.00;family_friendly:0.03;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.01,True
Housekeeping was inconsistent and the carpets looked grubby.,cleanliness,-0.9058,0.9989,cleanliness:1.00;service:0.01;luxury:0.00;value:0.00;location_central:0.01;local_culture:0.01;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.00,False
"Impeccable five-star service, every tiny detail considered.",luxury,0.8996,0.997,cleanliness:0.03;service:0.27;luxury:1.00;value:0.02;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.01;nightlife:0.00;family_friendly:0.00;business_facilities:0.02;wellness_spa:0.28;beach_access:0.01;food_dining:0.05;accessibility:0.01,False
Just steps from a beautiful stretch of beach with loungers ready.,location_central|beach_access,0.9382,0.9968,cleanliness:0.00;service:0.00;luxury:0.01;value:0.00;location_central:0.54;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.32;business_facilities:0.00;wellness_spa:0.00;beach_access:1.00;food_dining:0.00;accessibility:0.01,False
"Loved that it sat in a genuine local neighborhood, not a tourist bubble.",local_culture,0.9463,0.9982,cleanliness:0.01;service:0.00;luxury:0.00;value:0.01;location_central:0.01;local_culture:1.00;safety:0.00;quietness:0.02;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.00,False
Meeting rooms were well-equipped and the WiFi was rock solid for video calls.,business_facilities,0.9554,0.9891,cleanliness:0.00;service:0.00;luxury:0.12;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.99;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.02,False
Mixed feelings overall but mostly positive.,general,0.7883,0.0304,cleanliness:0.01;service:0.01;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.03;safety:0.00;quietness:0.01;nightlife:0.01;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.02;beach_access:0.03;food_dining:0.00;accessibility:0.01,False
No proper workspace and the internet was far too slow for business.,business_facilities,-0.887,0.0327,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.03;wellness_spa:0.01;beach_access:0.01;food_dining:0.00;accessibility:0.02,True
No real beach access — just a rocky shore you couldn't use.,beach_access,-0.743,0.964,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.04;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.96;food_dining:0.00;accessibility:0.01,False
Not accessible — no ramps and the lift didn't reach all floors.,accessibility,-0.8285,0.9895,cleanliness:0.00;service:0.00;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.00;safety:0.01;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.99,False
Not great for kids — no facilities and the staff seemed annoyed by children.,family_friendly|service,-0.9225,0.0905,cleanliness:0.09;service:0.02;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.02;accessibility:0.02,True
Not sure I'd come back.,general,-0.5301,0.1052,cleanliness:0.02;service:0.00;luxury:0.03;value:0.01;location_central:0.01;local_culture:0.05;safety:0.00;quietness:0.05;nightlife:0.06;family_friendly:0.01;business_facilities:0.01;wellness_spa:0.07;beach_access:0.11;food_dining:0.01;accessibility:0.01,False
On-site restaurant was a highlight — beautifully prepared local dishes.,local_culture|food_dining,0.9786,0.9992,cleanliness:0.00;service:0.00;luxury:0.03;value:0.01;location_central:0.02;local_culture:0.65;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.03;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:1.00;accessibility:0.02,False
Outstanding dining; we never felt the need to eat elsewhere.,luxury|food_dining,0.9441,0.9952,cleanliness:0.01;service:0.00;luxury:0.51;value:0.20;location_central:0.01;local_culture:0.08;safety:0.00;quietness:0.00;nightlife:0.01;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.00;beach_access:0.02;food_dining:1.00;accessibility:0.00,False
Overall a solid choice.,general,0.8997,0.2467,cleanliness:0.03;service:0.01;luxury:0.00;value:0.12;location_central:0.01;local_culture:0.03;safety:0.00;quietness:0.06;nightlife:0.02;family_friendly:0.01;business_facilities:0.01;wellness_spa:0.06;beach_access:0.25;food_dining:0.01;accessibility:0.01,False
Overpriced for what you actually get.,value,-0.6066,0.9862,cleanliness:0.00;service:0.00;luxury:0.02;value:0.99;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.01;nightlife:0.01;family_friendly:0.00;business_facilities:0.01;wellness_spa:0.11;beach_access:0.03;food_dining:0.03;accessibility:0.00,False
"Perfect central location, walking distance to all the main sights.",location_central,0.9472,0.9999,cleanliness:0.00;service:0.00;luxury:0.00;value:0.10;location_central:1.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.00,False
Plenty for children to do and the family suite had loads of space.,family_friendly,0.5208,0.9945,cleanliness:0.00;service:0.00;luxury:0.03;value:0.01;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.99;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
Poorly lit surroundings made me uneasy walking back at night.,safety,-0.8933,0.9044,cleanliness:0.02;service:0.00;luxury:0.00;value:0.00;location_central:0.04;local_culture:0.06;safety:0.90;quietness:0.00;nightlife:0.01;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.03;food_dining:0.00;accessibility:0.00,False
Pure luxury from check-in to checkout — utterly indulgent.,luxury,0.843,0.9497,cleanliness:0.01;service:0.00;luxury:0.95;value:0.01;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.17;beach_access:0.01;food_dining:0.04;accessibility:0.00,False
"Quiet, safe neighborhood — I never once felt uncomfortable coming back late.",safety|quietness,0.7652,0.9865,cleanliness:0.00;service:0.01;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.98;safety:0.99;quietness:0.97;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.01,True
"Right in the heart of the city, so easy to get everywhere on foot.",location_central,0.7452,0.9983,cleanliness:0.00;service:0.00;luxury:0.00;value:0.03;location_central:1.00;local_culture:0.02;safety:0.02;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.02,False
Room was noisy due to nearby construction and thin walls.,quietness,-0.5907,0.0434,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.04;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.01,True
Room was wonderfully peaceful and the blackout curtains were perfect.,luxury|quietness,0.9761,0.9992,cleanliness:0.09;service:0.00;luxury:0.77;value:0.01;location_central:0.00;local_culture:0.03;safety:0.01;quietness:1.00;nightlife:0.00;family_friendly:0.03;business_facilities:0.01;wellness_spa:0.01;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
Room wasn't clean on arrival — found hair in the bathroom.,cleanliness,-0.743,0.998,cleanliness:1.00;service:0.00;luxury:0.03;value:0.00;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.00;nightlife:0.01;family_friendly:0.01;business_facilities:0.01;wellness_spa:0.01;beach_access:0.00;food_dining:0.00;accessibility:0.00,False
Second time staying at this property.,general,-0.2267,0.1284,cleanliness:0.05;service:0.01;luxury:0.03;value:0.00;location_central:0.00;local_culture:0.12;safety:0.00;quietness:0.03;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.02;beach_access:0.13;food_dining:0.00;accessibility:0.01,False
Service was indifferent and slow throughout the stay.,service,-0.8657,0.9745,cleanliness:0.00;service:0.97;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.05;beach_access:0.03;food_dining:0.02;accessibility:0.00,False
Slept beautifully — very quiet despite being central.,location_central|quietness,0.9479,0.9986,cleanliness:0.02;service:0.00;luxury:0.12;value:0.01;location_central:0.61;local_culture:0.04;safety:0.01;quietness:1.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.01;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
"Soundproofing was superb, not a peep from the street.",quietness,0.8838,0.9929,cleanliness:0.00;service:0.00;luxury:0.14;value:0.04;location_central:0.00;local_culture:0.01;safety:0.18;quietness:0.99;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.00,False
Spotlessly clean room and an immaculate bathroom.,cleanliness,0.9425,0.9992,cleanliness:1.00;service:0.00;luxury:0.06;value:0.00;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.01;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.03;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
"Staff went above and beyond — genuinely warm, attentive service throughout.",service,0.9625,0.9997,cleanliness:0.01;service:1.00;luxury:0.13;value:0.00;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.04;beach_access:0.01;food_dining:0.03;accessibility:0.01,False
Stayed here for a few nights.,general,0.0491,0.3443,cleanliness:0.03;service:0.00;luxury:0.03;value:0.02;location_central:0.01;local_culture:0.08;safety:0.01;quietness:0.12;nightlife:0.02;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.03;beach_access:0.34;food_dining:0.00;accessibility:0.01,False
Step-heavy layout made it very difficult with reduced mobility.,accessibility,-0.7406,0.4601,cleanliness:0.01;service:0.00;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.01;beach_access:0.01;food_dining:0.00;accessibility:0.46,True
Steps away from authentic local markets and family-run eateries.,local_culture|food_dining,0.7,0.9967,cleanliness:0.00;service:0.00;luxury:0.00;value:0.01;location_central:0.14;local_culture:1.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.04;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.96;accessibility:0.01,True
Stopped here on a longer trip.,general,0.001,0.2087,cleanliness:0.02;service:0.00;luxury:0.01;value:0.00;location_central:0.00;local_culture:0.06;safety:0.00;quietness:0.06;nightlife:0.01;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.02;beach_access:0.21;food_dining:0.00;accessibility:0.02,False
"The beach was a 20-minute drive away, not 'on the beach' as advertised.",beach_access,-0.2457,0.9696,cleanliness:0.00;service:0.00;luxury:0.02;value:0.00;location_central:0.01;local_culture:0.02;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.02;business_facilities:0.00;wellness_spa:0.00;beach_access:0.97;food_dining:0.00;accessibility:0.01,False
The breakfast spread was extensive and genuinely delicious.,food_dining,0.9795,0.9977,cleanliness:0.03;service:0.02;luxury:0.13;value:0.01;location_central:0.01;local_culture:0.07;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.12;business_facilities:0.01;wellness_spa:0.00;beach_access:0.02;food_dining:1.00;accessibility:0.02,False
"The business center and conference facilities were excellent, ideal for work trips.",business_facilities,0.9821,0.9981,cleanliness:0.01;service:0.00;luxury:0.02;value:0.01;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:1.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.03,False
The kids loved the pool and the staff were wonderful with our toddler.,service|family_friendly,0.9841,0.9979,cleanliness:0.00;service:0.99;luxury:0.02;value:0.01;location_central:0.02;local_culture:0.02;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:1.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.02,False
The level of refinement and personal service was world-class.,luxury|service,0.9366,0.9903,cleanliness:0.01;service:0.27;luxury:0.99;value:0.00;location_central:0.01;local_culture:0.01;safety:0.00;quietness:0.01;nightlife:0.00;family_friendly:0.00;business_facilities:0.04;wellness_spa:0.86;beach_access:0.01;food_dining:0.02;accessibility:0.01,True
"The location was far from everything and required long, expensive taxi rides.",location_central,-0.8226,0.0172,cleanliness:0.00;service:0.00;luxury:0.00;value:0.02;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.01;beach_access:0.01;food_dining:0.00;accessibility:0.00,True
The neighborhood felt sketchy after dark and I didn't feel safe coming back alone.,safety,-0.8675,0.9977,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.97;safety:1.00;quietness:0.00;nightlife:0.03;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.00,True
The restaurant was disappointing and the menu was very limited.,food_dining,-0.9287,0.993,cleanliness:0.00;service:0.00;luxury:0.00;value:0.01;location_central:0.01;local_culture:0.02;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.99;accessibility:0.01,False
"The rooftop bar was packed and fun, and the nightlife nearby was excellent.",nightlife,0.9831,0.9993,cleanliness:0.00;service:0.00;luxury:0.10;value:0.02;location_central:0.04;local_culture:0.16;safety:0.01;quietness:0.00;nightlife:1.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.02,False
The spa was a highlight — incredible massages and a serene relaxation pool.,luxury|wellness_spa,0.9827,0.9989,cleanliness:0.00;service:0.02;luxury:0.85;value:0.03;location_central:0.02;local_culture:0.01;safety:0.00;quietness:0.18;nightlife:0.00;family_friendly:0.32;business_facilities:0.00;wellness_spa:1.00;beach_access:0.01;food_dining:0.00;accessibility:0.07,False
The spa was small and underwhelming for a property of this class.,wellness_spa,-0.8385,0.9938,cleanliness:0.02;service:0.00;luxury:0.05;value:0.04;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.01;nightlife:0.00;family_friendly:0.02;business_facilities:0.00;wellness_spa:0.99;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
The team remembered our names and anticipated everything we needed.,service,0.8129,0.7437,cleanliness:0.01;service:0.74;luxury:0.10;value:0.00;location_central:0.01;local_culture:0.03;safety:0.00;quietness:0.03;nightlife:0.02;family_friendly:0.01;business_facilities:0.02;wellness_spa:0.03;beach_access:0.03;food_dining:0.01;accessibility:0.03,False
Very touristy strip; hard to find anything authentic or local nearby.,local_culture,-0.8244,0.95,cleanliness:0.00;service:0.00;luxury:0.00;value:0.01;location_central:0.04;local_culture:0.95;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.01;beach_access:0.03;food_dining:0.00;accessibility:0.01,False
We had high hopes for this stay.,general,0.6399,0.1891,cleanliness:0.03;service:0.01;luxury:0.09;value:0.01;location_central:0.01;local_culture:0.19;safety:0.01;quietness:0.12;nightlife:0.02;family_friendly:0.03;business_facilities:0.01;wellness_spa:0.10;beach_access:0.13;food_dining:0.02;accessibility:0.03,False
Wellness facilities were tired and the pool was often closed.,wellness_spa,-0.7028,0.9622,cleanliness:0.01;service:0.00;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.02;nightlife:0.00;family_friendly:0.68;business_facilities:0.00;wellness_spa:0.96;beach_access:0.01;food_dining:0.00;accessibility:0.02,True
"WiFi kept dropping during calls, which was frustrating for work.",business_facilities,-0.8512,0.9631,cleanliness:0.00;service:0.00;luxury:0.02;value:0.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.96;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
